epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6304348111152649,0.7128211855888367,1.0613036155700684,0.22572815418243408,0.7859682440757751,0.7292512059211731
1,0.7296786308288574,0.8623530864715576,0.9319003820419312,0.48543688654899597,0.8067163228988647,0.697349488735199
2,0.7655954360961914,0.8779021501541138,0.8980282545089722,0.7451456189155579,0.8134862780570984,0.6425149440765381
3,0.796786367893219,0.8864028453826904,0.8713095784187317,0.8422330021858215,0.8134618997573853,0.5918365120887756
4,0.804347813129425,0.8984149098396301,0.8489933609962463,0.8470873832702637,0.811148464679718,0.5612282752990723
5,0.8298676609992981,0.9048246145248413,0.8179652690887451,0.8665048480033875,0.811684250831604,0.5296952128410339
6,0.8421549797058105,0.9131568074226379,0.7983678579330444,0.8713592290878296,0.8076417446136475,0.5026474595069885
7,0.8440453410148621,0.9146217107772827,0.7758462429046631,0.8762136101722717,0.8049386143684387,0.4821804463863373
8,0.8572778701782227,0.9132171869277954,0.7608184814453125,0.8786407709121704,0.801651120185852,0.46212875843048096
9,0.8516067862510681,0.9222834706306458,0.7330018281936646,0.8762136101722717,0.8008961081504822,0.45512300729751587
10,0.8686200380325317,0.9215589165687561,0.7183661460876465,0.8762136101722717,0.8002386093139648,0.4415205717086792
11,0.8657845258712769,0.9263701438903809,0.7035912275314331,0.8810679316520691,0.7982174158096313,0.4332115650177002
12,0.8913043737411499,0.9365581274032593,0.6707543730735779,0.8737863898277283,0.7977303862571716,0.43071576952934265
13,0.8846880793571472,0.9352806806564331,0.6637529730796814,0.8689320683479309,0.7999221086502075,0.41216015815734863
14,0.8761814832687378,0.9339142441749573,0.655517041683197,0.8592233061790466,0.8032339811325073,0.4243278205394745
15,0.8705103993415833,0.936939537525177,0.6340889930725098,0.8689320683479309,0.8052065372467041,0.39987504482269287
16,0.8790169954299927,0.941750705242157,0.6183299422264099,0.856796145439148,0.8060100674629211,0.402497261762619
17,0.8771266341209412,0.9446997046470642,0.5993995666503906,0.8616504669189453,0.8076660633087158,0.38896533846855164
18,0.8846880793571472,0.9411024451255798,0.6037359833717346,0.8689320683479309,0.8066920042037964,0.4160071015357971
19,0.8724007606506348,0.9464983344078064,0.5805168151855469,0.8640776872634888,0.8096386194229126,0.37516099214553833
20,0.8771266341209412,0.9467208385467529,0.5711455941200256,0.8665048480033875,0.8148013353347778,0.3855246901512146
21,0.8790169954299927,0.9506136775016785,0.5499178767204285,0.8689320683479309,0.8110753893852234,0.3577749729156494
22,0.8988657593727112,0.9579575061798096,0.5285436511039734,0.8689320683479309,0.8152396082878113,0.37317582964897156
23,0.8884688019752502,0.9594065546989441,0.525438129901886,0.8665048480033875,0.8151422142982483,0.3684651255607605
24,0.8846880793571472,0.9580402374267578,0.5099742412567139,0.8737863898277283,0.8189167976379395,0.3643632233142853
25,0.8884688019752502,0.9562066197395325,0.5177751779556274,0.856796145439148,0.8215224742889404,0.42957720160484314
26,0.8818525671958923,0.9535436034202576,0.5199297070503235,0.8640776872634888,0.8238115906715393,0.4059585630893707
27,0.8903591632843018,0.9617200493812561,0.4855380654335022,0.8689320683479309,0.8221800327301025,0.3815353512763977
28,0.8903591632843018,0.9607445001602173,0.48008227348327637,0.8592233061790466,0.8249318599700928,0.38879016041755676
29,0.8922495245933533,0.9544904828071594,0.4959576725959778,0.8519417643547058,0.821887731552124,0.4041089415550232
30,0.8979206085205078,0.9627465009689331,0.4687625765800476,0.8470873832702637,0.8243229985237122,0.39559680223464966
31,0.8969753980636597,0.9641320705413818,0.45332974195480347,0.856796145439148,0.8286089897155762,0.37247827649116516
32,0.8969753980636597,0.9652538299560547,0.4578237235546112,0.8495145440101624,0.8322130441665649,0.3888717293739319
33,0.8988657593727112,0.9660069346427917,0.43612369894981384,0.8592233061790466,0.8287550806999207,0.3779618442058563
34,0.8875236511230469,0.9630516171455383,0.444368451833725,0.856796145439148,0.8383499383926392,0.4064784348011017
35,0.9007561206817627,0.9660959243774414,0.44311437010765076,0.8592233061790466,0.8300945162773132,0.4115954637527466
36,0.8941398859024048,0.9657241702079773,0.42961421608924866,0.8665048480033875,0.8295587301254272,0.379606157541275
37,0.9054820537567139,0.9661149978637695,0.4299142062664032,0.8592233061790466,0.8273913860321045,0.38804149627685547
38,0.9035916924476624,0.9702365398406982,0.41502270102500916,0.8616504669189453,0.8235437273979187,0.4004620909690857
39,0.8998109698295593,0.9673829078674316,0.4233816862106323,0.8640776872634888,0.8263686299324036,0.4080444574356079
40,0.9035916924476624,0.9654889702796936,0.4304255545139313,0.8470873832702637,0.8289743065834045,0.4314705431461334
41,0.8903591632843018,0.9582086205482483,0.4507405459880829,0.8373786211013794,0.8277566432952881,0.4602709412574768
42,0.8875236511230469,0.9631628394126892,0.43993473052978516,0.844660222530365,0.822326123714447,0.44219881296157837
43,0.8724007606506348,0.955157995223999,0.4600231349468231,0.8228155374526978,0.8218147158622742,0.49613723158836365
44,0.8913043737411499,0.9634138345718384,0.432746022939682,0.8373786211013794,0.8393970727920532,0.41251081228256226
45,0.8884688019752502,0.964637279510498,0.4288378953933716,0.8179611563682556,0.8356711864471436,0.462294340133667
46,0.9017013311386108,0.963038980960846,0.42954039573669434,0.8252426981925964,0.8196473717689514,0.4896624684333801
47,0.8931947350502014,0.9629848003387451,0.4300236403942108,0.832524299621582,0.8354032635688782,0.44656798243522644
48,0.9026464819908142,0.9683775305747986,0.40548890829086304,0.8519417643547058,0.8401032090187073,0.42867884039878845
49,0.9045368432998657,0.9699251651763916,0.3949044346809387,0.8276699185371399,0.8386421799659729,0.42328307032585144
50,0.8884688019752502,0.9690672159194946,0.39622727036476135,0.8373786211013794,0.8376680612564087,0.4550491273403168
51,0.8960302472114563,0.9702016115188599,0.3838633894920349,0.8640776872634888,0.8405659198760986,0.39377209544181824
52,0.9092627763748169,0.9695343375205994,0.38666242361068726,0.8495145440101624,0.8389343619346619,0.43654388189315796
53,0.8998109698295593,0.9696232676506042,0.38933879137039185,0.8252426981925964,0.8361825942993164,0.5034186244010925
54,0.8837429285049438,0.9672590494155884,0.3941217064857483,0.844660222530365,0.8473845720291138,0.43155422806739807
55,0.9064272046089172,0.9708976745605469,0.3805554211139679,0.8616504669189453,0.8565166592597961,0.3844607174396515
